column_number,row_letter,concentration,well,plate,mouse_id,name
1,0,1.3538483370418466,0.01.0,MAA000445,killer_mouse,0.01.0-MAA000445-killer_mouse-1
1,2,0.74238209226425,2.01.0,MAA000445,killer_mouse,2.01.0-MAA000445-killer_mouse-1
1,4,2.03505935917335,4.01.0,MAA000445,killer_mouse,4.01.0-MAA000445-killer_mouse-1
1,5,2.613410267432058,5.01.0,MAA000445,killer_mouse,5.01.0-MAA000445-killer_mouse-1
1,6,1.7008160354941018,6.01.0,MAA000445,killer_mouse,6.01.0-MAA000445-killer_mouse-1
1,9,1.1108456048272664,9.01.0,MAA000445,killer_mouse,9.01.0-MAA000445-killer_mouse-1
1,10,2.333898168251668,10.01.0,MAA000445,killer_mouse,10.01.0-MAA000445-killer_mouse-1
1,12,2.109053369351997,12.01.0,MAA000445,killer_mouse,12.01.0-MAA000445-killer_mouse-1
1,13,3.4961631194288376,13.01.0,MAA000445,killer_mouse,13.01.0-MAA000445-killer_mouse-1
1,14,2.6696678985992057,14.01.0,MAA000445,killer_mouse,14.01.0-MAA000445-killer_mouse-1
2,0,3.5817213662053287,0.02.0,MAA000445,killer_mouse,0.02.0-MAA000445-killer_mouse-1
2,1,2.9759996626524776,1.02.0,MAA000445,killer_mouse,1.02.0-MAA000445-killer_mouse-1
2,3,2.6052357420772063,3.02.0,MAA000445,killer_mouse,3.02.0-MAA000445-killer_mouse-1
2,4,3.266277809544747,4.02.0,MAA000445,killer_mouse,4.02.0-MAA000445-killer_mouse-1
2,5,2.8316725995448784,5.02.0,MAA000445,killer_mouse,5.02.0-MAA000445-killer_mouse-1
2,6,2.941778609927924,6.02.0,MAA000445,killer_mouse,6.02.0-MAA000445-killer_mouse-1
2,7,3.244011449453163,7.02.0,MAA000445,killer_mouse,7.02.0-MAA000445-killer_mouse-1
2,8,1.3545134944468171,8.02.0,MAA000445,killer_mouse,8.02.0-MAA000445-killer_mouse-1
2,9,2.3827967397656424,9.02.0,MAA000445,killer_mouse,9.02.0-MAA000445-killer_mouse-1
2,10,2.7462897124478793,10.02.0,MAA000445,killer_mouse,10.02.0-MAA000445-killer_mouse-1
2,11,3.00071760289381,11.02.0,MAA000445,killer_mouse,11.02.0-MAA000445-killer_mouse-1
2,13,3.31445939320661,13.02.0,MAA000445,killer_mouse,13.02.0-MAA000445-killer_mouse-1
2,14,2.0426637496096554,14.02.0,MAA000445,killer_mouse,14.02.0-MAA000445-killer_mouse-1
2,15,0.8521848945315232,15.02.0,MAA000445,killer_mouse,15.02.0-MAA000445-killer_mouse-1
3,0,2.821523334153971,0.03.0,MAA000445,killer_mouse,0.03.0-MAA000445-killer_mouse-1
3,1,2.2111740355122538,1.03.0,MAA000445,killer_mouse,1.03.0-MAA000445-killer_mouse-1
3,3,2.9562177086604975,3.03.0,MAA000445,killer_mouse,3.03.0-MAA000445-killer_mouse-1
3,4,2.4374277587333624,4.03.0,MAA000445,killer_mouse,4.03.0-MAA000445-killer_mouse-1
3,5,2.9597585920409837,5.03.0,MAA000445,killer_mouse,5.03.0-MAA000445-killer_mouse-1
3,6,2.9672446362896516,6.03.0,MAA000445,killer_mouse,6.03.0-MAA000445-killer_mouse-1
3,7,2.0710962052293946,7.03.0,MAA000445,killer_mouse,7.03.0-MAA000445-killer_mouse-1
3,8,2.307385166857701,8.03.0,MAA000445,killer_mouse,8.03.0-MAA000445-killer_mouse-1
3,9,3.128412275514004,9.03.0,MAA000445,killer_mouse,9.03.0-MAA000445-killer_mouse-1
3,10,2.3047936445006734,10.03.0,MAA000445,killer_mouse,10.03.0-MAA000445-killer_mouse-1
3,11,1.964615734623831,11.03.0,MAA000445,killer_mouse,11.03.0-MAA000445-killer_mouse-1
3,12,2.7617481433075506,12.03.0,MAA000445,killer_mouse,12.03.0-MAA000445-killer_mouse-1
3,14,2.683516994075163,14.03.0,MAA000445,killer_mouse,14.03.0-MAA000445-killer_mouse-1
3,15,0.7488453490226776,15.03.0,MAA000445,killer_mouse,15.03.0-MAA000445-killer_mouse-1
4,0,2.467408217041033,0.04.0,MAA000445,killer_mouse,0.04.0-MAA000445-killer_mouse-1
4,1,3.1500316188571165,1.04.0,MAA000445,killer_mouse,1.04.0-MAA000445-killer_mouse-1
4,2,3.4435707647153126,2.04.0,MAA000445,killer_mouse,2.04.0-MAA000445-killer_mouse-1
4,3,2.880148752914657,3.04.0,MAA000445,killer_mouse,3.04.0-MAA000445-killer_mouse-1
4,4,3.2092245810139914,4.04.0,MAA000445,killer_mouse,4.04.0-MAA000445-killer_mouse-1
4,5,2.5788574998458045,5.04.0,MAA000445,killer_mouse,5.04.0-MAA000445-killer_mouse-1
4,6,2.715108515448119,6.04.0,MAA000445,killer_mouse,6.04.0-MAA000445-killer_mouse-1
4,7,3.2890115075013817,7.04.0,MAA000445,killer_mouse,7.04.0-MAA000445-killer_mouse-1
4,8,3.4238276835586885,8.04.0,MAA000445,killer_mouse,8.04.0-MAA000445-killer_mouse-1
4,9,2.6720555545308144,9.04.0,MAA000445,killer_mouse,9.04.0-MAA000445-killer_mouse-1
4,10,2.377815833795435,10.04.0,MAA000445,killer_mouse,10.04.0-MAA000445-killer_mouse-1
4,11,2.963439417628749,11.04.0,MAA000445,killer_mouse,11.04.0-MAA000445-killer_mouse-1
4,12,2.87728339302857,12.04.0,MAA000445,killer_mouse,12.04.0-MAA000445-killer_mouse-1
4,13,1.6042490017449558,13.04.0,MAA000445,killer_mouse,13.04.0-MAA000445-killer_mouse-1
4,15,1.5735351426102466,15.04.0,MAA000445,killer_mouse,15.04.0-MAA000445-killer_mouse-1
5,0,2.2454538294102333,0.05.0,MAA000445,killer_mouse,0.05.0-MAA000445-killer_mouse-1
5,1,2.1957147408117965,1.05.0,MAA000445,killer_mouse,1.05.0-MAA000445-killer_mouse-1
5,2,3.4962063114681214,2.05.0,MAA000445,killer_mouse,2.05.0-MAA000445-killer_mouse-1
5,3,2.3340925324284454,3.05.0,MAA000445,killer_mouse,3.05.0-MAA000445-killer_mouse-1
5,4,2.0473008469471643,4.05.0,MAA000445,killer_mouse,4.05.0-MAA000445-killer_mouse-1
5,5,2.410891433638182,5.05.0,MAA000445,killer_mouse,5.05.0-MAA000445-killer_mouse-1
5,6,1.9327322350653167,6.05.0,MAA000445,killer_mouse,6.05.0-MAA000445-killer_mouse-1
5,7,2.3562094480641074,7.05.0,MAA000445,killer_mouse,7.05.0-MAA000445-killer_mouse-1
5,8,2.7653106227076787,8.05.0,MAA000445,killer_mouse,8.05.0-MAA000445-killer_mouse-1
5,9,2.6005666826306277,9.05.0,MAA000445,killer_mouse,9.05.0-MAA000445-killer_mouse-1
5,10,1.2960228348486966,10.05.0,MAA000445,killer_mouse,10.05.0-MAA000445-killer_mouse-1
5,11,3.1476111369756525,11.05.0,MAA000445,killer_mouse,11.05.0-MAA000445-killer_mouse-1
5,12,3.052496219587228,12.05.0,MAA000445,killer_mouse,12.05.0-MAA000445-killer_mouse-1
5,14,3.1579288513197663,14.05.0,MAA000445,killer_mouse,14.05.0-MAA000445-killer_mouse-1
5,15,2.075366170232991,15.05.0,MAA000445,killer_mouse,15.05.0-MAA000445-killer_mouse-1
6,0,2.914143479353364,0.06.0,MAA000445,killer_mouse,0.06.0-MAA000445-killer_mouse-1
6,2,3.130960605831748,2.06.0,MAA000445,killer_mouse,2.06.0-MAA000445-killer_mouse-1
6,3,3.384062500671666,3.06.0,MAA000445,killer_mouse,3.06.0-MAA000445-killer_mouse-1
6,4,2.7891388069397647,4.06.0,MAA000445,killer_mouse,4.06.0-MAA000445-killer_mouse-1
6,5,2.9771891714143535,5.06.0,MAA000445,killer_mouse,5.06.0-MAA000445-killer_mouse-1
6,6,3.004164327628657,6.06.0,MAA000445,killer_mouse,6.06.0-MAA000445-killer_mouse-1
6,7,2.927736877956761,7.06.0,MAA000445,killer_mouse,7.06.0-MAA000445-killer_mouse-1
6,8,1.7953901885506933,8.06.0,MAA000445,killer_mouse,8.06.0-MAA000445-killer_mouse-1
6,9,2.4507231322657015,9.06.0,MAA000445,killer_mouse,9.06.0-MAA000445-killer_mouse-1
6,10,2.6542682089129603,10.06.0,MAA000445,killer_mouse,10.06.0-MAA000445-killer_mouse-1
6,11,3.5557344438498384,11.06.0,MAA000445,killer_mouse,11.06.0-MAA000445-killer_mouse-1
6,12,3.6217914848896946,12.06.0,MAA000445,killer_mouse,12.06.0-MAA000445-killer_mouse-1
6,13,2.0783852937789287,13.06.0,MAA000445,killer_mouse,13.06.0-MAA000445-killer_mouse-1
6,14,3.0971040939187495,14.06.0,MAA000445,killer_mouse,14.06.0-MAA000445-killer_mouse-1
6,15,2.299576909995976,15.06.0,MAA000445,killer_mouse,15.06.0-MAA000445-killer_mouse-1
7,0,1.9119361319909531,0.07.0,MAA000445,killer_mouse,0.07.0-MAA000445-killer_mouse-1
7,2,3.163028967318397,2.07.0,MAA000445,killer_mouse,2.07.0-MAA000445-killer_mouse-1
7,3,2.5104758632516946,3.07.0,MAA000445,killer_mouse,3.07.0-MAA000445-killer_mouse-1
7,4,2.585284475291234,4.07.0,MAA000445,killer_mouse,4.07.0-MAA000445-killer_mouse-1
7,5,1.9830829229400122,5.07.0,MAA000445,killer_mouse,5.07.0-MAA000445-killer_mouse-1
7,6,2.921258072064191,6.07.0,MAA000445,killer_mouse,6.07.0-MAA000445-killer_mouse-1
7,7,3.123058190324384,7.07.0,MAA000445,killer_mouse,7.07.0-MAA000445-killer_mouse-1
7,8,3.0843788553049567,8.07.0,MAA000445,killer_mouse,8.07.0-MAA000445-killer_mouse-1
7,9,1.7908532967443231,9.07.0,MAA000445,killer_mouse,9.07.0-MAA000445-killer_mouse-1
7,10,2.8533230411562753,10.07.0,MAA000445,killer_mouse,10.07.0-MAA000445-killer_mouse-1
7,11,2.630322542334022,11.07.0,MAA000445,killer_mouse,11.07.0-MAA000445-killer_mouse-1
7,12,2.5367815428570992,12.07.0,MAA000445,killer_mouse,12.07.0-MAA000445-killer_mouse-1
7,13,3.9489936423248984,13.07.0,MAA000445,killer_mouse,13.07.0-MAA000445-killer_mouse-1
7,14,3.2513143594552676,14.07.0,MAA000445,killer_mouse,14.07.0-MAA000445-killer_mouse-1
7,15,3.4913325217553375,15.07.0,MAA000445,killer_mouse,15.07.0-MAA000445-killer_mouse-1
8,0,3.1147661826226805,0.08.0,MAA000445,killer_mouse,0.08.0-MAA000445-killer_mouse-1
8,1,1.924229450211908,1.08.0,MAA000445,killer_mouse,1.08.0-MAA000445-killer_mouse-1
8,2,2.667510888157373,2.08.0,MAA000445,killer_mouse,2.08.0-MAA000445-killer_mouse-1
8,3,2.8141383592772273,3.08.0,MAA000445,killer_mouse,3.08.0-MAA000445-killer_mouse-1
8,4,3.0172566985763623,4.08.0,MAA000445,killer_mouse,4.08.0-MAA000445-killer_mouse-1
8,5,4.213296096791891,5.08.0,MAA000445,killer_mouse,5.08.0-MAA000445-killer_mouse-1
8,6,1.966237163778545,6.08.0,MAA000445,killer_mouse,6.08.0-MAA000445-killer_mouse-1
8,7,3.025774168723127,7.08.0,MAA000445,killer_mouse,7.08.0-MAA000445-killer_mouse-1
8,8,3.2638417785291405,8.08.0,MAA000445,killer_mouse,8.08.0-MAA000445-killer_mouse-1
8,9,2.8724052841118577,9.08.0,MAA000445,killer_mouse,9.08.0-MAA000445-killer_mouse-1
8,10,3.0874938651781045,10.08.0,MAA000445,killer_mouse,10.08.0-MAA000445-killer_mouse-1
8,11,2.5569280376606343,11.08.0,MAA000445,killer_mouse,11.08.0-MAA000445-killer_mouse-1
8,12,2.610740999404319,12.08.0,MAA000445,killer_mouse,12.08.0-MAA000445-killer_mouse-1
8,13,2.7739049746843687,13.08.0,MAA000445,killer_mouse,13.08.0-MAA000445-killer_mouse-1
8,14,3.6152012435357728,14.08.0,MAA000445,killer_mouse,14.08.0-MAA000445-killer_mouse-1
8,15,3.748827046990418,15.08.0,MAA000445,killer_mouse,15.08.0-MAA000445-killer_mouse-1
9,0,2.8481961460932883,0.09.0,MAA000445,killer_mouse,0.09.0-MAA000445-killer_mouse-1
9,1,2.211455647608384,1.09.0,MAA000445,killer_mouse,1.09.0-MAA000445-killer_mouse-1
9,2,2.537197914115795,2.09.0,MAA000445,killer_mouse,2.09.0-MAA000445-killer_mouse-1
9,3,1.1889635909167304,3.09.0,MAA000445,killer_mouse,3.09.0-MAA000445-killer_mouse-1
9,4,2.2814474834269944,4.09.0,MAA000445,killer_mouse,4.09.0-MAA000445-killer_mouse-1
9,6,2.5577987891725957,6.09.0,MAA000445,killer_mouse,6.09.0-MAA000445-killer_mouse-1
9,7,4.314688545169823,7.09.0,MAA000445,killer_mouse,7.09.0-MAA000445-killer_mouse-1
9,8,0.7582016085723342,8.09.0,MAA000445,killer_mouse,8.09.0-MAA000445-killer_mouse-1
9,9,3.049118602115235,9.09.0,MAA000445,killer_mouse,9.09.0-MAA000445-killer_mouse-1
9,10,2.569154840141092,10.09.0,MAA000445,killer_mouse,10.09.0-MAA000445-killer_mouse-1
9,11,2.730494383681794,11.09.0,MAA000445,killer_mouse,11.09.0-MAA000445-killer_mouse-1
9,12,2.9324370356716236,12.09.0,MAA000445,killer_mouse,12.09.0-MAA000445-killer_mouse-1
9,13,1.6072750360171788,13.09.0,MAA000445,killer_mouse,13.09.0-MAA000445-killer_mouse-1
9,14,2.162021494807291,14.09.0,MAA000445,killer_mouse,14.09.0-MAA000445-killer_mouse-1
9,15,2.661578893482136,15.09.0,MAA000445,killer_mouse,15.09.0-MAA000445-killer_mouse-1
