column_number,row_letter,concentration,well,plate,mouse_id,name
1,C,0.6966037916001292,C1,MAA000459,1_6_M,C1-MAA000459-1_6_M-1
1,F,0.8225553240132282,F1,MAA000459,1_6_M,F1-MAA000459-1_6_M-1
1,G,0.9009079630788851,G1,MAA000459,1_6_M,G1-MAA000459-1_6_M-1
1,H,1.0434436938137253,H1,MAA000459,1_6_M,H1-MAA000459-1_6_M-1
1,I,1.1653783465535943,I1,MAA000459,1_6_M,I1-MAA000459-1_6_M-1
1,J,1.1087610451394465,J1,MAA000459,1_6_M,J1-MAA000459-1_6_M-1
1,K,1.3065954134546067,K1,MAA000459,1_6_M,K1-MAA000459-1_6_M-1
1,L,1.136731331577814,L1,MAA000459,1_6_M,L1-MAA000459-1_6_M-1
1,O,0.8984289446577709,O1,MAA000459,1_6_M,O1-MAA000459-1_6_M-1
1,P,0.88201871254102,P1,MAA000459,1_6_M,P1-MAA000459-1_6_M-1
2,A,0.7387262288144713,A2,MAA000459,1_6_M,A2-MAA000459-1_6_M-1
2,B,1.0672579276148706,B2,MAA000459,1_6_M,B2-MAA000459-1_6_M-1
2,D,1.0516270640964769,D2,MAA000459,1_6_M,D2-MAA000459-1_6_M-1
2,E,0.7293268347588363,E2,MAA000459,1_6_M,E2-MAA000459-1_6_M-1
2,F,1.0243891753811194,F2,MAA000459,1_6_M,F2-MAA000459-1_6_M-1
2,G,1.2582415067775061,G2,MAA000459,1_6_M,G2-MAA000459-1_6_M-1
2,H,1.0559605622627894,H2,MAA000459,1_6_M,H2-MAA000459-1_6_M-1
2,I,1.177248060720094,I2,MAA000459,1_6_M,I2-MAA000459-1_6_M-1
2,J,1.1229427701702694,J2,MAA000459,1_6_M,J2-MAA000459-1_6_M-1
2,K,1.641896137291185,K2,MAA000459,1_6_M,K2-MAA000459-1_6_M-1
2,L,1.0404132025227915,L2,MAA000459,1_6_M,L2-MAA000459-1_6_M-1
2,M,1.106781309726655,M2,MAA000459,1_6_M,M2-MAA000459-1_6_M-1
2,N,1.229789333951315,N2,MAA000459,1_6_M,N2-MAA000459-1_6_M-1
2,O,0.9467602357282228,O2,MAA000459,1_6_M,O2-MAA000459-1_6_M-1
3,A,0.6959670752898641,A3,MAA000459,1_6_M,A3-MAA000459-1_6_M-1
3,B,0.7423586431746723,B3,MAA000459,1_6_M,B3-MAA000459-1_6_M-1
3,C,1.0262192998576192,C3,MAA000459,1_6_M,C3-MAA000459-1_6_M-1
3,D,1.0448041095367508,D3,MAA000459,1_6_M,D3-MAA000459-1_6_M-1
3,E,1.210319036288782,E3,MAA000459,1_6_M,E3-MAA000459-1_6_M-1
3,F,1.0853869458369272,F3,MAA000459,1_6_M,F3-MAA000459-1_6_M-1
3,H,1.413341076836758,H3,MAA000459,1_6_M,H3-MAA000459-1_6_M-1
3,I,1.1280312816662406,I3,MAA000459,1_6_M,I3-MAA000459-1_6_M-1
3,J,1.2689056351434218,J3,MAA000459,1_6_M,J3-MAA000459-1_6_M-1
3,K,1.074804581587357,K3,MAA000459,1_6_M,K3-MAA000459-1_6_M-1
3,L,1.189164745761941,L3,MAA000459,1_6_M,L3-MAA000459-1_6_M-1
